seed,split,subject_id,F1,IoU,L1,EdgeLoss
3407,valid43,valid__m2-065-01,0.6506131454999257,0.4821546492247155,0.1197044774889946,0.28979188203811646
3407,valid43,valid__m2-066-01,0.620195475510482,0.44948067969260636,0.09363782405853271,0.2673799991607666
3407,valid43,valid__m2-067-01,0.6798834297909372,0.5150177227782741,0.11054373532533646,0.2842344641685486
3407,valid43,valid__m2-068-01,0.6726972552795156,0.5068152371079278,0.14619581401348114,0.3306230902671814
3407,valid43,valid__m2-069-01,0.5360886007562031,0.36620290068997813,0.11690802127122879,0.2691827714443207
3407,valid43,valid__m2-070-01,0.7461011791553951,0.5950250265430779,0.09309088438749313,0.2554720640182495
3407,valid43,valid__m2-071-01,0.6799828485670193,0.5151318282712049,0.1339816153049469,0.34457647800445557
3407,valid43,valid__m2-072-01,0.7910310542085278,0.6543022109560191,0.10826465487480164,0.3178405165672302
3407,valid43,valid__m2-073-01,0.7171356333087485,0.5590112656713478,0.13479726016521454,0.33125439286231995
3407,valid43,valid__m2-074-01,0.717578235128151,0.5595493267379611,0.133382648229599,0.3277745246887207
3407,valid43,valid__m2-075-01,0.7773568249529597,0.6358002406736957,0.10766709595918655,0.3011353611946106
3407,valid43,valid__m2-076-01,0.6930225330224253,0.5302482640539022,0.15277141332626343,0.34624433517456055
3407,valid43,valid__m2-077-01,0.7231913535340465,0.5664054324316722,0.14864738285541534,0.3483380675315857
3407,valid43,valid__m2-078-01,0.6837382278386065,0.5194545965699974,0.12496515363454819,0.31673532724380493
3407,valid43,valid__m2-079-01,0.7412405121519229,0.5888658789131486,0.07456331700086594,0.2407251000404358
3407,valid43,valid__m2-080-01,0.7428408903790634,0.5908885237311351,0.14123040437698364,0.36789587140083313
3407,valid43,valid__m2-081-01,0.7447222016169802,0.5932728218218236,0.14127284288406372,0.34062743186950684
3407,valid43,valid__m2-082-01,0.7027311426793174,0.54170046456731,0.08334536105394363,0.2455064356327057
3407,valid43,valid__m2-083-01,0.6346008693160942,0.46477316050306333,0.09069901704788208,0.2437090277671814
3407,valid43,valid__m2-084-01,0.6782353261163977,0.5131286525638563,0.1214875876903534,0.34286803007125854
3407,valid43,valid__m2-085-01,0.5938477690287467,0.4223211085890508,0.1338072568178177,0.29168251156806946
3407,valid43,valid__m2-086-01,0.7439899933173277,0.592344001527764,0.12021835893392563,0.33382678031921387
3407,valid43,valid__m2-087-01,0.7679764243613423,0.6233455589218232,0.09228294342756271,0.27466946840286255
3407,valid43,valid__m2-088-01,0.8293372540147724,0.7084339677323581,0.08971560746431351,0.26263904571533203
3407,valid43,valid__m2-089-01,0.7571460501152912,0.6091995364262441,0.07489284873008728,0.2223864197731018
3407,valid43,valid__m2-090-01,0.6235118132823869,0.45297287641038114,0.1169954314827919,0.29916009306907654
3407,valid43,valid__m2-091-01,0.7146333624131699,0.5559762806313653,0.0971967801451683,0.25902727246284485
3407,valid43,valid__m2-092-01,0.7786707399627192,0.63756004661589,0.10401982069015503,0.28929778933525085
3407,valid43,valid__m2-093-01,0.6263087835017531,0.4559312718751393,0.1257353574037552,0.305633008480072
3407,valid43,valid__m2-094-01,0.7892658799026403,0.6518903422323412,0.07949396222829819,0.25246864557266235
3407,valid43,valid__m2-095-01,0.6382555850706828,0.4687043898056392,0.1297765076160431,0.30528759956359863
3407,valid43,valid__m2-096-01,0.6356374428092901,0.4658860208815016,0.08966431766748428,0.28890565037727356
3407,valid43,valid__m2-097-01,0.6750819742395845,0.509527352722167,0.10390139371156693,0.27664366364479065
3407,valid43,valid__m2-098-01,0.7611835220244009,0.6144441372529061,0.09468668699264526,0.26204073429107666
3407,valid43,valid__m2-099-01,0.791557885086635,0.6550234184310789,0.09090965241193771,0.2768247723579407
3407,valid43,valid__m2-100-01,0.6512835177403377,0.482891346185053,0.10847988724708557,0.31283092498779297
3407,valid43,valid__m2-101-01,0.7375361111602118,0.5842037286611118,0.11656039208173752,0.30546000599861145
3407,valid43,valid__m2-102-01,0.6872213714479007,0.5234861053503413,0.1325177699327469,0.31606459617614746
3407,valid43,valid__m2-103-01,0.6938893844779898,0.5312638732368503,0.09524601697921753,0.2583470344543457
3407,valid43,valid__m2-104-01,0.6737872231654208,0.5080536358378512,0.13628393411636353,0.3263648450374603
3407,valid43,valid__m2-105-01,0.7760590364009126,0.634065742941436,0.10946277529001236,0.29068005084991455
3407,valid43,valid__m2-106-01,0.7464924209756963,0.5955228619812142,0.12262328714132309,0.3319966793060303
3407,valid43,valid__m2-107-01,0.6795100612422258,0.5145893514959016,0.13771256804466248,0.32112830877304077
2026,valid43,valid__m2-065-01,0.6791299658456141,0.5141535111593243,0.1063230112195015,0.2766059339046478
2026,valid43,valid__m2-066-01,0.5881850913453559,0.4166162913705544,0.09800983220338821,0.27209529280662537
2026,valid43,valid__m2-067-01,0.6927849897289993,0.5299701918090558,0.10769319534301758,0.2781209349632263
2026,valid43,valid__m2-068-01,0.7092245989303496,0.5494562402898472,0.1275673508644104,0.3083587884902954
2026,valid43,valid__m2-069-01,0.559245907452113,0.388161942655405,0.10671266168355942,0.2598044276237488
2026,valid43,valid__m2-070-01,0.7472726826994319,0.5965166340506471,0.09275078028440475,0.25344887375831604
2026,valid43,valid__m2-071-01,0.6934913006220533,0.5307973080869937,0.13081243634223938,0.34017425775527954
2026,valid43,valid__m2-072-01,0.8065710655289878,0.6758433973167415,0.10032052546739578,0.3064767122268677
2026,valid43,valid__m2-073-01,0.7237113748131517,0.567043661230782,0.12938234210014343,0.3227236568927765
2026,valid43,valid__m2-074-01,0.7160314755048199,0.5576705829189569,0.12956197559833527,0.32942521572113037
2026,valid43,valid__m2-075-01,0.7756724424032773,0.6335497699046102,0.10749248415231705,0.28905290365219116
2026,valid43,valid__m2-076-01,0.7159232197297505,0.557539261459954,0.13186176121234894,0.32575955986976624
2026,valid43,valid__m2-077-01,0.7358220009138312,0.5820556926680672,0.13418449461460114,0.33091479539871216
2026,valid43,valid__m2-078-01,0.6930544608699335,0.530285647044824,0.11906441301107407,0.31015607714653015
2026,valid43,valid__m2-079-01,0.7395686458820985,0.5867583692407248,0.07599548995494843,0.2396867424249649
